공간정보일련번호,해수욕장명,경도,위도,공간정보
70,위도,126.282983,35.6035,POINT (889764.0281577237 1734838.8857083465)
71,신양섭지코지,126.923021,33.434809,POINT (946366.5929783852 1493825.3730174515)
72,중문색달,126.411482,33.245125,POINT (898594.8415391695 1473175.1581479628)
73,표선해비치,126.837355,33.327998,POINT (938327.9712336828 1482030.720187319)
74,화순금모래,126.333709,33.239967,POINT (891342.8216916625 1472681.443062317)
75,곽지과물,126.304716,33.450627,POINT (888909.4232139043 1496069.0749664009)
76,금능으뜸원,126.235091,33.389768,POINT (882355.955838567 1489397.728141747)
77,김녕성세기,126.759463,33.557734,POINT (931259.8898601637 1507550.7089450445)
78,삼양검은모래,126.585804,33.526016,POINT (915108.5560649072 1504162.65135759)
159,천진,128.560001,38.259264,POINT (1092737.9024049877 2029297.7480213763)
79,이호테우,126.451821,33.497263,POINT (902634.2968795381 1501092.3117605092)
80,함덕서우봉,126.669279,33.543276,POINT (922875.5253159412 1506011.1420058452)
81,협재,126.23921,33.394103,POINT (882744.8939236747 1489873.7353292399)
82,난지섬,126.423538,37.047102,POINT (904278.1988358538 1894824.3288870435)
83,왜목마을,126.527126,37.045,POINT (913487.3855560644 1894491.8753235093)
84,대천,126.513182,36.310454,POINT (911409.0200799287 1813020.0054749106)
85,무창포,126.536648,36.245611,POINT (913444.1616885732 1805806.0940369219)
86,춘장대,126.523262,36.163891,POINT (912150.1287931456 1796753.4801724274)
87,갈음이,126.152227,36.69675,POINT (879602.7091962595 1856263.9996282074)
88,곰섬,126.289959,36.588914,POINT (891756.1355460173 1844137.1977599391)
89,구례포,126.198056,36.886903,POINT (883983.9813696215 1877302.5204655228)
90,구름포,126.153673,36.837666,POINT (879951.8052225991 1871895.0754005138)
91,기지포,126.323032,36.560412,POINT (894676.0875308773 1840938.6681793183)
92,꽃지,126.336046,36.497209,POINT (895755.9344230981 1833913.3109313652)
93,꾸지나무꼴,126.292612,36.935309,POINT (892478.1900305505 1882561.837647659)
94,달산포,126.295976,36.654146,POINT (892385.1332211372 1851366.8387752506)
95,두여,126.329551,36.542128,POINT (895234.8012018969 1838903.2740328815)
96,마검포,126.2883,36.614683,POINT (891643.7753403164 1846997.7011749558)
97,만리포,126.144335,36.788032,POINT (879041.0366970114 1866400.5235469064)
98,몽산포,126.286725,36.669982,POINT (891580.4647555982 1853134.006511278)
99,바람아래,126.377094,36.412252,POINT (899322.5864655015 1824445.4388258904)
100,밧개,126.330699,36.530833,POINT (895322.3359036272 1837649.0546696368)
101,방주골,126.154967,36.812134,POINT (880027.3319923736 1869060.964403972)
102,방포,126.332586,36.509481,POINT (895462.5457459309 1835278.4037419222)
103,백사장,126.313998,36.579008,POINT (893893.0688738191 1843011.4946719306)
104,삼봉,126.316998,36.568375,POINT (894146.9644731234 1841828.6453053663)
105,샛별,126.335153,36.449184,POINT (895611.5611263859 1828586.8552183402)
106,신두리,126.184719,36.837418,POINT (882719.8506565727 1871829.0034368362)
107,안면,126.328613,36.549541,POINT (895160.8512923467 1839726.6315591873)
108,어은돌,126.129596,36.752852,POINT (877669.9914353179 1862516.463498681)
109,연포,126.209199,36.693517,POINT (884687.473510628 1855835.3002685267)
110,의항,126.160668,36.827573,POINT (880559.8684133085 1870766.6045127418)
111,장삼포,126.360599,36.422364,POINT (897856.8658454727 1825584.4859725735)
112,천리포,126.150398,36.802542,POINT (879604.750180645 1868002.5868385062)
113,청포대,126.301091,36.639995,POINT (892822.7183386538 1849791.2917855189)
114,통개,126.145167,36.72958,POINT (879023.4954532175 1859914.945955837)
115,파도리,126.134261,36.74087,POINT (878067.4782361324 1861181.258666555)
116,학암포,126.203471,36.898105,POINT (884483.419176685 1878538.6927468993)
117,모래울,124.68455,37.814009,POINT (752163.0011587852 1983099.1979256922)
118,경포,128.909962,37.803514,POINT (1124123.6000251542 1979136.076196594)
119,금진,129.045026,37.636379,POINT (1136320.4427514393 1960779.265859724)
120,남항진,128.954655,37.764479,POINT (1128125.6683978015 1974865.173440415)
121,도직,129.068321,37.60957,POINT (1138425.6512787107 1957838.766476807)
122,등명,129.016634,37.70465,POINT (1133692.6467279037 1968313.4451464908)
123,사근진,128.898479,37.813114,POINT (1123096.721895761 1980186.0711341547)
124,사천,128.878484,37.830015,POINT (1121308.9674094063 1982035.1958845465)
125,사천진,128.874214,37.842837,POINT (1120912.2468343447 1983452.3485184824)
126,강문,128.917591,37.796618,POINT (1124806.8458512258 1978381.078340461)
127,송정,128.940386,37.778257,POINT (1126845.2458946116 1976374.4827515185)
128,순긋,128.892978,37.817132,POINT (1122605.8428564696 1980624.6621923293)
129,안목,128.947272,37.773174,POINT (1127460.4114191069 1975819.853365829)
130,안인,128.990137,37.734538,POINT (1131303.9985342124 1971592.2136209086)
131,연곡,128.854417,37.858578,POINT (1119144.9580417993 1985173.4704088503)
132,염전,128.984172,37.741903,POINT (1130765.401282295 1972401.0570288075)
133,영진,128.845203,37.869014,POINT (1118317.6965069813 1986319.697249488)
134,옥계,129.049433,37.628104,POINT (1136724.4690088863 1959867.5225887545)
135,정동진,129.034513,37.690865,POINT (1135293.8475685604 1966809.5824643981)
136,주문진,128.819143,37.911093,POINT (1115959.4503624071 1990955.9472818766)
137,하평,128.87004,37.846003,POINT (1120539.8192577278 1983798.2415015283)
138,가진리,128.509312,38.372655,POINT (1088165.6537365676 2041830.254463947)
139,거진11리,128.455214,38.443797,POINT (1083358.1977423555 2049674.1129995557)
